"","A2","A3","A4","A6","A7","A8","B1","B2","B3","B4","B5","D1","D3","G1","J1","J2","J4","J5","J6","K1","K2","K4","K5","K6","L1","M1","M2","M3","M4","N1","N2","N3","S1","U3","U4"
"K2",0.609433559435668,0.526720526442765,0.621555742290682,0.561031820588806,0.530319687030715,0.721242924467287,0.578801249669565,0.67531610902169,0.728113218544703,0.755483098020927,0.499312281136936,0.606282410567319,0.881275025623305,0.422612439349481,0.667358969594444,0.492460491930647,0.527254353261041,0.803468587401084,0.621382503261284,0.258218928233315,0,0.846130407968999,0.620455613222775,0.404488685988092,0.422661563650405,0.306471159797657,0.386838193616243,0.317773740191845,0.913099024214089,0.493326413116321,0.410830259987556,0.475249312772317,0.498128090944848,0.67808560839259,0.877156358887209
"K4",0.847748129095804,0.870153362935551,0.904847544996644,0.898287759157339,0.891248076445467,0.786739484037557,0.904595187374784,0.820099552694666,0.806610570602907,0.787705800957054,0.879127224839874,0.701587104201276,0.500041833964491,0.852052618048353,0.844087731736506,0.824512642197116,0.821203560024574,0.639199069280714,0.819698355112751,0.817217801920478,0.846130407968999,0,0.714007863432987,0.811562053427589,0.77388031880962,0.837051842803888,0.830581466528092,0.835656287705384,0.602579275338521,0.886782408675675,0.80222335679289,0.783456994710703,0.870351317443915,0.812429713247731,0.71074575842559
"K5",0.687415233512508,0.713376777849054,0.767388866503295,0.767716679319351,0.732292394903537,0.589063981303853,0.775598166769393,0.629149347074329,0.598912633485447,0.601072820637022,0.729311737980216,0.485370321214827,0.769605720082281,0.680403285377169,0.696364024459442,0.524274603598788,0.54022725956229,0.599558772213509,0.636780777059108,0.582642861248609,0.620455613222775,0.714007863432987,0,0.503491508925703,0.582557802653311,0.600460781969414,0.697423960270513,0.557664798400307,0.826339285927348,0.73512736780109,0.596207381129258,0.562127142236286,0.699081462609643,0.615726981377153,0.75950648374885
"K6",0.553278035626202,0.612490557287223,0.699189301152088,0.695143912178384,0.657666910448486,0.648119806447107,0.687190620035592,0.591517949765954,0.643322094820019,0.672557804598072,0.619054098463408,0.528497693755826,0.85247512874723,0.57561045981615,0.609923356419099,0.372420541398163,0.394363420534235,0.734763408093456,0.53833828686728,0.390783382067692,0.404488685988092,0.811562053427589,0.503491508925703,0,0.459901677176818,0.382808742989916,0.564327571278881,0.350398771331639,0.89429197777657,0.642681083815225,0.452439496486891,0.462301109665628,0.617999974628285,0.584205769356811,0.817042185481062
"L1",0.58954954231917,0.621319434720664,0.705074101371487,0.656756336243729,0.638766088061351,0.674667988244796,0.679421659065819,0.626726762624138,0.692774629897595,0.730437669028181,0.617221425048996,0.457425094033153,0.82022333195016,0.529064752407151,0.615063802652123,0.498640442623565,0.522643417624444,0.766952803017608,0.552695821294044,0.29148493904117,0.422661563650405,0.77388031880962,0.582557802653311,0.459901677176818,0,0.457304763502575,0.455912012910849,0.473006999086166,0.875997211800371,0.608383873636477,0.331135688537319,0.351482184613369,0.589442689665761,0.61995559589689,0.878676088825355
"M1",0.576123901345559,0.525712555228367,0.624174769839353,0.547889233131204,0.507349370879941,0.69158667836155,0.59558221682269,0.651590004672882,0.694876905047365,0.725030501984547,0.501720699824028,0.583379675358669,0.865346000029349,0.380292617816828,0.629009207722536,0.482670535493665,0.44641097287876,0.784392202398687,0.578272989490117,0.302192312138062,0.306471159797657,0.837051842803888,0.600460781969414,0.382808742989916,0.457304763502575,0,0.380291697495527,0.292629910163212,0.906753246870128,0.463842188466822,0.403869507401786,0.412784327311732,0.462026375331781,0.642653767469124,0.862283260980484
"M2",0.645758395005899,0.555560567075198,0.596220683959848,0.496265725205325,0.463662236805358,0.75452552373884,0.54357223275431,0.714985046653675,0.761180211231879,0.788134489005374,0.460272183722112,0.569175647761501,0.873553814825682,0.395797038053909,0.69387900352321,0.603819079944981,0.605880405521909,0.839014433232329,0.656813491920645,0.417851398257236,0.386838193616243,0.830581466528092,0.697423960270513,0.564327571278881,0.455912012910849,0.380291697495527,0,0.469920187639195,0.912792087810891,0.434049489357042,0.419626418758652,0.444004002601667,0.440434319539679,0.707968754617786,0.9132970325723
"M3",0.560803319849003,0.535672584877713,0.630871227556286,0.60287783685267,0.56038817997147,0.668357157234457,0.598051501736046,0.630563233900233,0.680331737499583,0.715371279601309,0.51765297347704,0.583304606830221,0.87158307878074,0.451658082676624,0.610314322899227,0.440342949559481,0.437265404150669,0.769932459474091,0.572635896628898,0.315038775832833,0.317773740191845,0.835656287705384,0.557664798400307,0.350398771331639,0.473006999086166,0.292629910163212,0.469920187639195,0,0.909491012003079,0.545203143018355,0.43549468199851,0.467678246893183,0.506223641242826,0.621351860658678,0.831667066306988
"M4",0.913088691916725,0.928012152912161,0.947447699908553,0.943556691972898,0.938754566000119,0.876785226867741,0.946783735661762,0.896232923091137,0.886654491394425,0.875263147173263,0.932379178536091,0.831518118862993,0.583739666872986,0.914989981658574,0.909779338629518,0.900732837380165,0.899403719110292,0.789493433811007,0.896174781908324,0.90002409770667,0.913099024214089,0.602579275338521,0.826339285927348,0.89429197777657,0.875997211800371,0.906753246870128,0.912792087810891,0.909491012003079,0,0.93344710333967,0.878771230190068,0.855893002888319,0.927431812560346,0.890842343845108,0.67890260953137
"N1",0.690572288071397,0.586248251564077,0.48995351185272,0.299401872495581,0.279030018108089,0.777111656953172,0.398357462434185,0.742088351681692,0.785434935272641,0.807701428227509,0.406304739399245,0.697986872879657,0.900143308190489,0.320873108378573,0.726504185271327,0.647027709024278,0.660750316490661,0.856890622689207,0.694385650033246,0.536686471285655,0.493326413116321,0.886782408675675,0.73512736780109,0.642681083815225,0.608383873636477,0.463842188466822,0.434049489357042,0.545203143018355,0.93344710333967,0,0.583524905912579,0.547571779064206,0.424765645602289,0.737248286197313,0.916837420822873
"N2",0.565265054545131,0.590925368798573,0.681573092911947,0.631124137675575,0.611195644778304,0.673653751328477,0.662899154934424,0.629574487351836,0.695738759466923,0.732699926045367,0.585775285538389,0.381574572191627,0.83790618713861,0.482541097805142,0.61636574558058,0.484491005845793,0.524366790215253,0.784900384800588,0.561769676598319,0.341417996139464,0.410830259987556,0.80222335679289,0.596207381129258,0.452439496486891,0.331135688537319,0.403869507401786,0.419626418758652,0.43549468199851,0.878771230190068,0.583524905912579,0,0.335808179090829,0.55782673631271,0.619230402982793,0.883481649360473
"N3",0.594963054476774,0.613003530348671,0.699471106075393,0.626600201918819,0.604853276773879,0.660661715853801,0.67442611776572,0.613300277105954,0.676124389201424,0.717547840994044,0.600562332762987,0.442012490065824,0.833206759109891,0.452390095621518,0.60090727060297,0.498921094154097,0.517019879537161,0.772346385298432,0.539232236674968,0.426266346848748,0.475249312772317,0.783456994710703,0.562127142236286,0.462301109665628,0.351482184613369,0.412784327311732,0.444004002601667,0.467678246893183,0.855893002888319,0.547571779064206,0.335808179090829,0,0.56236160245302,0.598491187053762,0.872929661420858
"S1",0.614192914731481,0.480636096495548,0.483400965146743,0.414112593244624,0.341989623962043,0.711292580880739,0.405471896833527,0.679914819815721,0.730002781661203,0.755963061752594,0.269758613378726,0.658279052286455,0.887050446982036,0.373681776580595,0.652330983146878,0.618710812751645,0.61361107941565,0.820338098847492,0.624581034186811,0.519932754173704,0.498128090944848,0.870351317443915,0.699081462609643,0.617999974628285,0.589442689665761,0.462026375331781,0.440434319539679,0.506223641242826,0.927431812560346,0.424765645602289,0.55782673631271,0.56236160245302,0,0.678234710032461,0.89700935798111
"U3",0.511233490577991,0.619293901829358,0.724362194256436,0.749624982386008,0.723516462478383,0.469211051427263,0.762844870729183,0.41796911690667,0.503928236847833,0.57575819231985,0.705636032466994,0.581199806028006,0.844362159717763,0.679249543696812,0.439204105025072,0.593137216673575,0.53887664430712,0.679328657894541,0.432477592239651,0.636387683037783,0.67808560839259,0.812429713247731,0.615726981377153,0.584205769356811,0.61995559589689,0.642653767469124,0.707968754617786,0.621351860658678,0.890842343845108,0.737248286197313,0.619230402982793,0.598491187053762,0.678234710032461,0,0.810160906985668
"U4",0.862511457906215,0.875874669258402,0.905285834073843,0.919577619229237,0.907309854488777,0.803124052644277,0.928689031986215,0.81121994039637,0.808739576527582,0.783601258320624,0.90894056984394,0.850744309334512,0.687009006116388,0.89345873049551,0.855810016561366,0.833459058662588,0.813196019487598,0.64789559409914,0.837219758462999,0.865730421985364,0.877156358887209,0.71074575842559,0.75950648374885,0.817042185481062,0.878676088825355,0.862283260980484,0.9132970325723,0.831667066306988,0.67890260953137,0.916837420822873,0.883481649360473,0.872929661420858,0.89700935798111,0.810160906985668,0
